Seed_Archetype,Nature_Interest,Culture_Interest,Adventure_Interest,Food_Interest,Wellness_Interest,Entertainment_Interest,Shopping_Interest,Family_Interest
Family & Entertainment,2,1,1,3,1,5,2,5
Family & Entertainment,2,1,3,3,1,5,1,4
Family & Entertainment,2,1,2,2,1,5,1,5
Family & Entertainment,2,1,2,3,1,5,2,5
Family & Entertainment,2,1,2,2,1,5,1,5
Family & Entertainment,2,1,2,3,1,5,1,5
Family & Entertainment,2,1,2,2,1,5,2,5
Family & Entertainment,2,1,2,2,1,5,1,5
Family & Entertainment,1,1,2,3,1,5,1,5
Family & Entertainment,1,1,4,2,1,5,1,5
Family & Entertainment,3,1,2,2,1,4,1,4
Family & Entertainment,2,1,2,1,1,4,1,5
Family & Entertainment,3,1,2,2,1,5,1,5
Family & Entertainment,2,1,1,3,1,5,1,5
Family & Entertainment,2,1,2,1,1,5,1,5
Family & Entertainment,3,1,3,2,2,5,1,5
Family & Entertainment,2,1,2,3,1,5,1,4
Family & Entertainment,3,1,2,2,1,5,1,4
Family & Entertainment,2,1,3,2,1,5,1,5
Family & Entertainment,2,1,3,2,1,5,1,5
Family & Entertainment,2,1,2,2,1,5,1,5
Family & Entertainment,3,1,2,3,1,5,1,5
Family & Entertainment,1,1,2,2,1,5,1,4
Family & Entertainment,2,1,2,2,2,4,1,5
Family & Entertainment,2,1,2,2,1,5,1,5
Family & Entertainment,2,1,2,1,1,4,1,5
Family & Entertainment,2,1,3,2,1,5,1,5
Family & Entertainment,2,3,2,3,2,5,1,5
Family & Entertainment,1,2,2,1,1,5,1,5
Family & Entertainment,2,1,2,2,1,5,1,5
Family & Entertainment,2,1,1,2,2,5,1,3
Family & Entertainment,2,1,3,2,1,5,1,5
Family & Entertainment,2,1,2,3,1,4,2,5
Family & Entertainment,2,1,2,2,1,5,1,4
Family & Entertainment,3,1,2,1,1,5,2,5
Family & Entertainment,2,1,2,2,2,4,1,4
Family & Entertainment,1,1,1,2,1,4,2,5
Family & Entertainment,2,1,1,1,1,5,1,5
Family & Entertainment,2,1,2,2,2,4,1,5
Family & Entertainment,1,1,2,2,1,5,1,5
Family & Entertainment,2,1,2,2,2,5,1,5
Family & Entertainment,1,1,1,2,2,5,1,4
Family & Entertainment,2,1,2,2,1,5,1,5
Family & Entertainment,2,2,2,1,1,5,1,5
Family & Entertainment,2,2,2,2,1,5,1,5
Family & Entertainment,3,2,2,1,1,5,1,5
Family & Entertainment,2,1,3,2,1,5,1,5
Family & Entertainment,2,1,2,1,1,5,2,5
Family & Entertainment,3,2,2,1,2,5,1,5
Family & Entertainment,2,1,2,1,1,5,1,5
Family & Entertainment,2,2,3,2,1,5,2,5
Family & Entertainment,2,1,3,3,1,4,1,5
Family & Entertainment,2,1,2,2,1,5,1,4
Family & Entertainment,2,1,2,1,2,3,1,5
Family & Entertainment,2,1,3,2,1,5,1,5
Family & Entertainment,1,1,2,2,1,5,1,5
Family & Entertainment,2,1,2,3,1,5,1,5
Family & Entertainment,2,1,2,2,1,4,1,5
Family & Entertainment,2,1,2,1,1,5,1,5
Family & Entertainment,1,1,1,2,1,5,1,4
Family & Entertainment,2,1,2,2,1,4,2,5
Family & Entertainment,3,1,3,1,1,5,1,4
Family & Entertainment,2,1,2,1,1,5,1,4
Family & Entertainment,2,2,2,2,2,5,1,5
Family & Entertainment,2,1,2,2,1,5,1,5
Family & Entertainment,2,1,1,2,1,5,1,5
Family & Entertainment,3,1,3,2,1,5,1,5
Family & Entertainment,1,1,2,2,1,5,1,5
Family & Entertainment,1,2,2,2,1,5,1,5
Family & Entertainment,3,2,1,1,1,5,2,5
Family & Entertainment,2,1,2,2,1,5,1,5
Family & Entertainment,2,1,3,2,1,5,1,5
Family & Entertainment,2,1,2,2,1,5,1,5
Family & Entertainment,2,1,1,2,1,4,1,5
Family & Entertainment,2,1,2,2,1,3,1,5
Family & Entertainment,1,1,3,2,1,4,2,5
Family & Entertainment,2,2,2,2,1,5,1,4
Family & Entertainment,2,1,3,2,1,5,1,4
Family & Entertainment,3,2,2,2,1,4,2,5
Family & Entertainment,3,2,1,2,1,5,1,5
Family & Entertainment,1,1,2,2,1,4,1,5
Family & Entertainment,2,1,3,3,1,4,1,5
Family & Entertainment,2,1,1,1,1,5,1,4
Family & Entertainment,2,1,2,2,1,5,1,5
Family & Entertainment,2,2,2,2,2,4,2,5
Family & Entertainment,3,1,2,2,1,5,1,4
Family & Entertainment,2,2,2,2,1,5,1,5
Family & Entertainment,2,1,2,2,2,5,3,5
Family & Entertainment,2,1,2,3,2,5,1,4
Family & Entertainment,2,1,1,2,1,5,1,5
Family & Entertainment,1,1,1,1,1,5,1,5
Family & Entertainment,2,1,2,1,1,5,1,5
Family & Entertainment,1,1,1,2,1,5,1,5
Family & Entertainment,3,2,2,2,1,5,1,5
Family & Entertainment,2,1,2,2,1,5,2,5
Family & Entertainment,3,2,2,2,2,5,1,4
Family & Entertainment,2,1,2,3,1,5,1,5
Family & Entertainment,2,1,2,2,1,5,2,5
Family & Entertainment,2,1,2,2,1,5,2,4
Family & Entertainment,2,1,2,3,1,5,1,4
Family & Entertainment,2,1,1,3,1,5,1,5
Family & Entertainment,3,1,2,2,1,5,1,5
Family & Entertainment,2,1,3,2,1,5,1,5
Family & Entertainment,2,2,2,2,1,5,1,5
Family & Entertainment,2,1,2,3,2,5,1,5
Family & Entertainment,3,2,1,2,1,5,2,4
Family & Entertainment,1,1,2,2,1,5,1,5
Family & Entertainment,2,1,1,2,1,5,1,5
Family & Entertainment,1,1,2,3,1,5,2,4
Family & Entertainment,2,2,2,1,2,4,1,5
Family & Entertainment,2,1,2,2,2,5,1,5
Family & Entertainment,1,2,1,2,1,5,1,5
Family & Entertainment,2,1,2,2,2,5,1,5
Family & Entertainment,3,1,2,2,2,4,1,5
Family & Entertainment,1,2,2,2,1,5,1,5
Family & Entertainment,1,1,2,3,1,5,1,5
Family & Entertainment,2,1,2,1,1,5,1,4
Family & Entertainment,2,1,2,3,1,5,2,5
Family & Entertainment,1,1,2,1,1,5,1,5
Family & Entertainment,2,1,2,2,1,4,1,5
Family & Entertainment,2,1,2,1,1,5,1,5
Family & Entertainment,1,1,2,2,1,5,1,4
Family & Entertainment,2,1,2,2,1,4,1,5
Family & Entertainment,2,1,2,2,1,5,1,4
Family & Entertainment,2,1,2,1,1,5,1,4
Family & Entertainment,2,2,3,3,1,4,1,5
Family & Entertainment,2,1,2,2,1,5,1,4
Family & Entertainment,3,2,2,1,1,5,2,4
Family & Entertainment,2,1,2,2,1,5,2,5
Family & Entertainment,2,1,2,3,1,5,2,4
Family & Entertainment,2,1,2,2,1,4,1,5
Family & Entertainment,3,1,2,2,1,5,1,5
Family & Entertainment,3,2,2,2,1,4,1,5
Family & Entertainment,2,1,3,2,1,5,1,5
Family & Entertainment,2,1,2,2,2,5,1,4
Family & Entertainment,2,2,2,1,1,5,1,5
Family & Entertainment,1,2,2,1,1,5,1,5
Family & Entertainment,2,1,2,3,2,4,1,5
Family & Entertainment,1,1,2,1,1,5,1,5
Family & Entertainment,1,1,2,2,1,5,1,5
Family & Entertainment,3,1,2,2,1,5,1,5
Family & Entertainment,2,1,2,2,1,5,1,5
Family & Entertainment,2,2,2,2,1,4,2,5
Family & Entertainment,2,1,3,2,1,5,1,5
Family & Entertainment,2,1,2,1,1,5,1,5
Family & Entertainment,1,1,3,2,1,5,1,3
Family & Entertainment,2,2,1,2,1,5,2,5
Family & Entertainment,2,1,2,4,1,5,1,5
Family & Entertainment,3,1,1,2,2,5,1,4
Family & Entertainment,2,1,1,3,1,5,1,5
Family & Entertainment,2,1,1,1,1,5,1,5
Family & Entertainment,3,2,2,2,1,5,1,3
Shopping & Food,2,2,1,5,1,2,5,2
Shopping & Food,1,2,2,5,1,3,5,1
Shopping & Food,1,2,2,5,1,1,4,1
Shopping & Food,1,3,1,4,1,3,5,1
Shopping & Food,1,3,1,5,2,2,5,1
Shopping & Food,1,1,1,5,1,2,4,1
Shopping & Food,1,1,2,5,1,2,5,1
Shopping & Food,1,2,1,5,1,1,5,1
Shopping & Food,1,2,2,5,1,2,4,1
Shopping & Food,1,2,1,4,2,2,5,1
Shopping & Food,1,2,1,5,2,2,5,2
Shopping & Food,1,2,2,5,1,1,5,1
Shopping & Food,1,2,2,5,2,3,4,1
Shopping & Food,1,1,1,5,1,3,5,2
Shopping & Food,1,2,1,5,1,2,5,2
Shopping & Food,2,2,1,5,1,3,5,2
Shopping & Food,1,2,1,5,2,3,5,1
Shopping & Food,1,3,1,5,1,2,5,1
Shopping & Food,2,2,1,5,1,3,5,1
Shopping & Food,1,2,1,5,1,2,5,1
Shopping & Food,1,3,2,4,1,1,5,1
Shopping & Food,1,2,1,5,1,2,4,1
Shopping & Food,1,2,1,5,1,1,5,1
Shopping & Food,2,1,1,5,2,4,4,1
Shopping & Food,1,2,1,5,1,2,4,2
Shopping & Food,1,1,2,5,2,3,5,1
Shopping & Food,1,3,1,5,1,2,5,1
Shopping & Food,1,2,1,4,1,3,5,1
Shopping & Food,1,2,1,5,1,2,4,2
Shopping & Food,1,2,1,4,1,3,5,1
Shopping & Food,1,2,1,5,1,2,4,1
Shopping & Food,1,2,1,5,1,2,5,1
Shopping & Food,2,1,2,5,1,1,5,1
Shopping & Food,1,2,1,5,1,1,5,2
Shopping & Food,2,2,1,5,1,2,5,1
Shopping & Food,2,2,1,4,1,2,5,1
Shopping & Food,1,2,1,5,1,3,5,1
Shopping & Food,1,1,1,5,1,2,5,1
Shopping & Food,2,2,1,5,1,1,4,1
Shopping & Food,1,2,1,4,2,2,5,1
Shopping & Food,1,1,1,4,1,1,5,1
Shopping & Food,2,2,1,4,1,2,5,2
Shopping & Food,2,2,2,5,1,2,5,2
Shopping & Food,1,2,1,5,2,2,5,1
Shopping & Food,1,2,1,5,1,1,5,1
Shopping & Food,2,3,2,5,1,1,5,1
Shopping & Food,2,2,1,5,1,1,5,1
Shopping & Food,1,1,1,5,2,2,5,1
Shopping & Food,2,2,1,5,1,3,5,1
Shopping & Food,1,2,2,5,1,2,4,2
Shopping & Food,1,2,1,5,2,2,5,1
Shopping & Food,1,3,2,4,1,1,5,1
Shopping & Food,1,2,1,4,1,2,4,1
Shopping & Food,2,1,1,5,2,2,5,1
Shopping & Food,1,2,1,5,1,2,5,1
Shopping & Food,2,2,1,5,1,1,5,1
Shopping & Food,2,2,1,5,2,2,5,1
Shopping & Food,1,2,1,5,2,2,5,1
Shopping & Food,1,2,1,5,1,2,5,1
Shopping & Food,1,3,1,5,1,1,4,1
Shopping & Food,2,2,1,5,2,3,5,1
Shopping & Food,2,2,1,5,2,2,5,2
Shopping & Food,1,2,1,4,1,2,5,1
Shopping & Food,1,1,1,5,1,2,5,1
Shopping & Food,1,4,1,5,1,3,5,1
Shopping & Food,1,3,1,4,1,1,5,1
Shopping & Food,1,2,1,5,1,2,4,1
Shopping & Food,1,2,2,5,2,2,5,1
Shopping & Food,2,3,1,5,2,1,5,2
Shopping & Food,1,2,2,5,1,2,4,2
Shopping & Food,1,2,1,5,1,3,5,1
Shopping & Food,2,2,2,5,1,1,4,1
Shopping & Food,1,1,2,5,1,2,5,1
Shopping & Food,1,3,1,5,1,2,5,1
Shopping & Food,2,2,2,5,1,2,5,1
Shopping & Food,2,3,1,5,1,2,5,1
Shopping & Food,1,3,1,5,1,2,5,1
Shopping & Food,1,2,1,5,1,2,5,1
Shopping & Food,1,3,2,4,1,2,5,1
Shopping & Food,1,2,2,5,2,1,4,1
Shopping & Food,2,1,1,4,1,2,5,1
Shopping & Food,1,2,2,5,1,2,4,1
Shopping & Food,2,2,2,5,1,2,4,1
Shopping & Food,1,3,2,4,2,2,5,1
Shopping & Food,1,3,1,5,1,3,5,2
Shopping & Food,1,2,2,5,1,3,5,1
Shopping & Food,1,3,1,5,1,2,5,1
Shopping & Food,1,2,1,5,2,3,5,1
Shopping & Food,1,1,1,5,2,3,5,1
Shopping & Food,1,1,1,5,1,1,5,1
Shopping & Food,1,2,1,5,1,2,5,1
Shopping & Food,1,2,2,5,1,2,5,1
Shopping & Food,1,2,1,5,2,3,5,1
Shopping & Food,1,3,1,5,1,2,5,1
Shopping & Food,1,2,1,4,1,2,5,1
Shopping & Food,2,2,2,5,1,3,5,1
Shopping & Food,2,1,1,5,2,3,4,2
Shopping & Food,1,1,1,5,1,2,5,2
Shopping & Food,1,2,1,5,1,1,5,1
Shopping & Food,1,2,1,5,1,2,5,1
Shopping & Food,1,1,1,5,2,2,5,1
Shopping & Food,1,1,1,5,2,1,5,1
Shopping & Food,1,1,1,5,1,2,5,1
Shopping & Food,1,2,1,5,1,2,5,2
Shopping & Food,1,3,1,5,1,2,4,2
Shopping & Food,1,2,1,5,1,1,5,1
Shopping & Food,1,2,1,4,1,2,5,1
Shopping & Food,1,2,2,5,1,1,5,1
Shopping & Food,1,2,1,5,1,2,5,1
Shopping & Food,1,1,1,5,1,2,5,1
Shopping & Food,1,2,1,4,1,2,5,1
Shopping & Food,1,1,1,5,1,1,5,2
Shopping & Food,1,2,2,4,2,3,4,1
Shopping & Food,1,2,1,5,1,1,5,1
Shopping & Food,1,1,2,5,1,2,5,2
Shopping & Food,1,1,1,5,1,1,5,1
Shopping & Food,2,3,1,5,1,2,5,1
Shopping & Food,1,2,1,5,1,3,4,2
Shopping & Food,1,2,1,5,1,3,5,1
Shopping & Food,1,2,1,4,1,2,4,1
Shopping & Food,2,3,1,4,1,1,5,1
Shopping & Food,2,1,2,5,1,1,5,1
Shopping & Food,2,3,1,4,1,3,5,2
Shopping & Food,1,2,1,5,1,2,5,1
Shopping & Food,1,2,1,5,1,1,5,2
Shopping & Food,1,2,1,5,1,2,5,1
Shopping & Food,2,1,1,5,1,2,4,2
Shopping & Food,1,2,1,5,2,2,4,2
Shopping & Food,1,1,1,5,1,2,5,1
Shopping & Food,1,2,1,5,1,2,4,2
Shopping & Food,1,3,1,5,1,2,5,1
Shopping & Food,1,2,1,5,1,1,5,1
Shopping & Food,1,2,1,5,1,1,5,2
Shopping & Food,1,3,1,4,1,1,5,1
Shopping & Food,2,1,1,5,1,2,5,1
Shopping & Food,2,2,1,5,1,2,5,1
Shopping & Food,1,3,2,5,1,1,5,1
Shopping & Food,1,3,2,5,1,1,5,1
Shopping & Food,1,2,1,5,1,3,5,2
Shopping & Food,1,2,1,5,1,2,5,1
Shopping & Food,1,2,1,5,1,2,5,1
Shopping & Food,1,3,1,5,1,3,5,1
Shopping & Food,1,1,1,4,1,3,5,1
Shopping & Food,1,2,1,5,1,3,5,1
Shopping & Food,1,3,1,5,1,2,5,1
Shopping & Food,2,1,1,5,1,1,4,1
Shopping & Food,1,2,1,5,1,2,5,1
Shopping & Food,1,2,1,5,1,1,5,1
Shopping & Food,1,3,2,5,2,2,5,2
Shopping & Food,2,2,1,5,1,2,5,1
Shopping & Food,1,3,1,5,2,2,5,1
Shopping & Food,2,3,1,5,1,2,5,1
Shopping & Food,1,2,2,4,2,2,5,1
Shopping & Food,1,2,1,5,1,1,5,1
Shopping & Food,1,2,1,5,1,1,5,1
Shopping & Food,1,2,1,5,1,2,4,1
Shopping & Food,1,2,1,5,1,2,5,1
Shopping & Food,2,2,1,5,1,3,5,1
Shopping & Food,1,3,2,5,1,2,5,2
Shopping & Food,1,2,1,4,1,2,5,1
Shopping & Food,1,3,1,5,1,2,5,1
Shopping & Food,1,3,1,5,1,3,5,1
Shopping & Food,2,2,2,5,2,2,5,1
Shopping & Food,2,2,2,4,1,2,5,2
Shopping & Food,1,2,2,4,1,2,4,1
Shopping & Food,2,3,1,5,1,2,5,1
Shopping & Food,1,2,1,4,1,2,5,2
Shopping & Food,1,2,1,5,2,1,5,2
Shopping & Food,1,2,1,5,1,2,4,2
Shopping & Food,2,2,1,5,1,1,5,1
Shopping & Food,1,2,1,5,1,2,5,1
Shopping & Food,1,2,1,5,1,2,5,2
Shopping & Food,1,2,3,5,1,2,4,1
Shopping & Food,1,2,2,5,2,2,5,1
Shopping & Food,2,2,2,5,1,2,5,1
Shopping & Food,1,2,1,5,1,2,5,1
Shopping & Food,1,3,1,5,1,2,5,2
Shopping & Food,1,2,1,5,1,2,5,1
Shopping & Food,1,2,1,5,1,2,5,1
Shopping & Food,2,1,1,5,1,2,4,1
Balanced Experience,3,3,3,3,3,3,4,3
Balanced Experience,3,3,3,2,3,3,2,2
Balanced Experience,2,3,3,3,3,3,3,3
Balanced Experience,3,3,2,3,2,4,3,4
Balanced Experience,2,3,3,4,4,3,4,3
Balanced Experience,4,2,3,2,2,3,2,3
Balanced Experience,3,3,2,3,2,3,3,3
Balanced Experience,4,3,4,2,3,4,4,3
Balanced Experience,3,3,3,3,4,3,3,3
Balanced Experience,2,3,2,3,4,3,3,4
Balanced Experience,2,3,4,3,2,3,3,4
Balanced Experience,3,4,4,3,3,3,3,3
Balanced Experience,3,3,3,3,3,3,3,3
Balanced Experience,3,3,3,2,3,3,3,4
Balanced Experience,3,3,3,3,2,3,2,3
Balanced Experience,2,2,4,3,4,4,3,3
Balanced Experience,2,4,3,4,3,4,3,4
Balanced Experience,4,2,3,2,2,3,3,3
Balanced Experience,3,2,4,3,3,3,4,3
Balanced Experience,2,3,3,2,3,3,2,3
Balanced Experience,3,3,3,4,3,3,3,3
Balanced Experience,4,3,3,3,2,3,3,3
Balanced Experience,2,2,2,3,3,3,3,3
Balanced Experience,4,3,3,3,2,3,2,3
Balanced Experience,3,3,2,3,3,3,3,3
Balanced Experience,3,4,2,2,5,3,2,3
Balanced Experience,1,3,3,2,3,4,2,2
Balanced Experience,3,3,3,2,3,3,3,3
Balanced Experience,3,2,3,3,3,4,3,4
Balanced Experience,4,3,2,2,4,3,3,4
Balanced Experience,3,3,3,2,3,4,3,4
Balanced Experience,4,3,2,2,3,2,3,3
Balanced Experience,4,3,3,3,3,3,4,3
Balanced Experience,3,3,3,3,3,3,3,3
Balanced Experience,3,3,4,3,2,3,2,3
Balanced Experience,4,3,3,1,3,3,3,4
Balanced Experience,3,3,2,3,2,2,2,4
Balanced Experience,3,3,3,2,4,2,3,3
Balanced Experience,3,3,2,3,3,3,4,2
Balanced Experience,3,3,4,3,3,3,3,2
Balanced Experience,2,3,3,3,3,4,3,3
Balanced Experience,3,4,3,3,2,4,3,3
Balanced Experience,5,3,2,3,2,3,3,3
Balanced Experience,2,4,3,3,3,3,3,3
Balanced Experience,3,3,3,3,3,4,3,3
Balanced Experience,3,3,3,3,3,2,3,3
Balanced Experience,4,3,2,3,3,3,3,3
Balanced Experience,3,3,4,3,4,4,3,2
Balanced Experience,4,3,3,2,2,4,2,4
Balanced Experience,3,3,3,2,3,2,3,4
Balanced Experience,3,2,3,3,3,3,3,2
Balanced Experience,4,3,3,3,4,3,2,3
Balanced Experience,4,3,3,4,3,3,3,3
Balanced Experience,3,3,3,2,3,3,4,2
Balanced Experience,3,3,4,3,4,3,3,3
Balanced Experience,3,3,2,3,3,4,2,4
Balanced Experience,3,2,1,2,3,3,3,3
Balanced Experience,2,3,3,3,3,3,3,3
Balanced Experience,3,4,3,3,4,4,3,4
Balanced Experience,4,3,3,2,3,3,3,3
Balanced Experience,3,3,3,2,3,2,3,3
Balanced Experience,3,3,3,3,2,3,3,4
Balanced Experience,3,4,3,3,3,3,2,3
Balanced Experience,3,3,4,2,3,3,3,4
Balanced Experience,4,3,3,2,4,4,3,2
Balanced Experience,2,3,3,2,3,4,3,4
Balanced Experience,3,2,3,3,2,2,4,2
Balanced Experience,4,3,3,3,3,3,2,3
Balanced Experience,2,3,3,3,2,2,3,3
Balanced Experience,2,3,3,3,3,3,3,2
Balanced Experience,3,2,3,3,4,3,3,2
Balanced Experience,3,3,4,3,3,4,3,2
Balanced Experience,4,2,3,3,3,3,3,3
Balanced Experience,2,4,3,3,3,3,3,2
Balanced Experience,3,3,4,2,3,3,4,3
Balanced Experience,3,4,3,2,2,3,2,3
Balanced Experience,3,3,3,2,2,3,3,1
Balanced Experience,3,2,3,4,3,4,3,4
Balanced Experience,2,3,3,3,4,3,4,4
Balanced Experience,3,3,4,2,2,4,3,3
Balanced Experience,3,2,3,3,4,4,3,3
Balanced Experience,2,3,3,4,4,2,3,3
Balanced Experience,3,3,3,4,2,2,2,3
Balanced Experience,2,3,3,3,3,3,4,3
Balanced Experience,3,3,3,3,3,3,3,3
Balanced Experience,3,3,3,4,2,2,3,2
Balanced Experience,2,3,3,3,3,3,4,3
Balanced Experience,2,3,3,4,3,3,4,3
Balanced Experience,3,3,3,2,2,2,3,3
Balanced Experience,3,2,2,3,3,3,3,4
Balanced Experience,3,4,3,2,3,2,3,3
Balanced Experience,2,4,3,2,3,3,4,3
Balanced Experience,3,3,3,3,3,3,3,3
Balanced Experience,3,2,3,3,3,4,2,4
Balanced Experience,3,3,3,2,3,3,3,3
Balanced Experience,2,2,4,2,4,2,3,3
Balanced Experience,3,4,3,3,3,3,4,3
Balanced Experience,4,3,3,3,2,3,3,3
Balanced Experience,3,3,3,3,3,3,3,3
Balanced Experience,4,2,3,3,4,2,3,3
Balanced Experience,3,4,4,3,3,2,3,3
Balanced Experience,3,2,3,2,3,2,3,4
Balanced Experience,3,4,4,3,4,2,3,3
Balanced Experience,2,3,4,4,3,3,3,3
Balanced Experience,3,3,3,2,3,2,3,4
Balanced Experience,3,3,3,2,3,3,1,2
Balanced Experience,4,4,3,3,3,3,3,3
Balanced Experience,3,4,4,4,3,2,4,3
Balanced Experience,3,3,3,2,3,4,4,3
Balanced Experience,2,3,4,3,3,4,3,4
Balanced Experience,3,2,4,2,3,3,4,3
Balanced Experience,3,3,4,5,3,3,2,3
Balanced Experience,3,3,3,4,4,3,2,4
Balanced Experience,3,2,3,4,2,3,3,3
Balanced Experience,3,3,3,3,3,2,2,3
Balanced Experience,3,4,3,3,4,2,4,4
Balanced Experience,3,3,3,3,2,2,3,3
Balanced Experience,2,3,3,4,3,4,3,4
Balanced Experience,2,3,3,3,3,3,3,3
Balanced Experience,3,4,3,2,3,2,3,3
Balanced Experience,3,4,2,3,4,4,3,2
Balanced Experience,2,3,3,3,3,3,3,2
Balanced Experience,3,3,3,4,3,2,3,3
Balanced Experience,3,2,4,2,3,3,3,4
Balanced Experience,3,3,4,3,3,2,2,3
Balanced Experience,3,2,3,3,4,3,2,3
Balanced Experience,2,4,3,3,3,2,2,3
Balanced Experience,2,2,3,3,2,3,3,4
Balanced Experience,3,3,3,2,3,3,3,3
Balanced Experience,3,3,3,3,3,3,3,3
Balanced Experience,2,2,3,4,3,3,3,2
Balanced Experience,4,3,3,3,3,4,3,3
Balanced Experience,3,3,3,3,2,3,3,3
Balanced Experience,3,3,4,2,3,3,3,3
Balanced Experience,5,3,4,3,2,3,3,3
Balanced Experience,3,3,3,3,3,3,2,3
Balanced Experience,3,3,3,4,3,3,3,3
Balanced Experience,3,3,3,3,4,3,3,3
Balanced Experience,2,3,2,3,3,3,2,3
Balanced Experience,4,3,3,3,3,2,4,3
Balanced Experience,3,3,2,3,3,3,3,3
Balanced Experience,3,3,2,4,4,4,4,3
Balanced Experience,4,3,2,4,4,3,2,3
Balanced Experience,2,4,2,3,3,2,3,3
Balanced Experience,3,2,3,2,2,4,4,3
Balanced Experience,3,3,3,3,3,3,3,3
Balanced Experience,3,2,3,3,3,4,3,4
Balanced Experience,2,3,3,4,2,3,4,3
Balanced Experience,3,3,3,4,3,4,3,3
Balanced Experience,3,2,3,3,3,3,2,3
Balanced Experience,3,4,3,3,3,3,3,2
Balanced Experience,4,3,3,3,3,2,3,3
Balanced Experience,4,3,4,3,3,3,3,4
Balanced Experience,3,3,3,3,4,4,3,3
Balanced Experience,3,3,3,3,3,2,4,3
Balanced Experience,2,4,4,3,3,3,4,3
Balanced Experience,2,4,4,3,2,3,3,3
Balanced Experience,3,3,2,3,3,3,2,3
Balanced Experience,3,3,3,2,3,3,3,3
Balanced Experience,3,4,3,2,3,4,2,3
Balanced Experience,3,3,3,4,3,4,3,3
Balanced Experience,3,2,3,4,3,3,3,3
Balanced Experience,4,4,4,3,3,3,3,2
Balanced Experience,2,3,3,2,3,3,2,3
Balanced Experience,3,3,4,2,2,3,3,3
Balanced Experience,3,2,3,3,4,3,3,4
Balanced Experience,3,3,3,3,3,3,3,3
Balanced Experience,3,4,4,3,3,3,3,4
Balanced Experience,4,3,3,4,3,4,3,3
Balanced Experience,3,4,4,2,3,4,3,3
Balanced Experience,4,4,3,3,2,3,3,3
Balanced Experience,2,3,2,3,2,2,2,3
Balanced Experience,2,3,4,4,2,3,2,2
Balanced Experience,3,4,3,3,3,2,3,3
Balanced Experience,3,3,3,3,3,3,3,3
Balanced Experience,3,3,3,3,4,2,4,2
Balanced Experience,3,2,4,3,3,3,3,3
Balanced Experience,3,1,3,3,4,4,3,3
Balanced Experience,2,3,3,2,3,4,3,4
Balanced Experience,3,4,3,3,3,3,3,3
